SETTLEMENTDATE,RRP,Renewable_MW
2023-01-01,66.2400205226481,1113.2621566062717
2023-01-02,74.74924607638889,1177.9857817118054
2023-01-03,75.83132732638889,1136.1759804965277
2023-01-04,96.27287545138888,1108.6442884618054
2023-01-05,86.44951888888889,725.7774953506945
2023-01-06,67.4011726388889,1135.0066120659721
2023-01-07,46.77665159722223,1161.9147933368056
2023-01-08,53.71135399305555,1077.2926619756945
2023-01-09,103.82674194444445,1023.949764875
2023-01-10,91.96950652777778,997.4796032569443
2023-01-11,108.12710288194445,875.3593942534721
2023-01-12,111.98031430555555,792.3643714513888
2023-01-13,131.70266437499998,827.0117742291667
2023-01-14,99.06783812500001,889.6219087048611
2023-01-15,69.90864822916666,889.6642671875001
2023-01-16,105.48207774305556,890.5564553055556
2023-01-17,95.26187937499999,1118.3974666493057
2023-01-18,64.7138596875,1130.6630181006944
2023-01-19,64.16526350694444,1274.466069638889
2023-01-20,61.94125489583333,1233.0322354791667
2023-01-21,53.314473125,1323.4675263645834
2023-01-22,70.19376364583334,1192.2845654340279
2023-01-23,104.34473881944444,1183.6500254027778
2023-01-24,112.44109506944444,1111.844475107639
2023-01-25,119.47742847222223,1129.7641922743055
2023-01-26,177.41995270833334,1165.4469864444445
2023-01-27,118.52366072916668,906.9137713055555
2023-01-28,109.63061559027777,1158.5550370555554
2023-01-29,110.68101684027778,1254.7631771145834
2023-01-30,130.4084976388889,1165.1398223368055
2023-01-31,285.6676499652778,941.7550890902777
2023-02-01,152.2821650347222,908.8307142395834
2023-02-02,135.27735760416667,1009.4287820243056
2023-02-03,133.96996270440252,952.2217948396226
2023-02-04,94.02092857638888,835.7747258229167
2023-02-05,89.72948274305556,1084.4472493333333
2023-02-06,110.61362461805555,1288.9397841840278
2023-02-07,101.99352486111111,1201.4117656666667
2023-02-08,89.01085534722222,1293.943574875
2023-02-09,101.30725482638888,1072.8568700798612
2023-02-10,83.44209399305555,1283.6504969236112
2023-02-11,62.02787552083333,1113.9597234375
2023-02-12,84.69738458333333,1404.1143423784722
2023-02-13,113.05350774305556,1323.4289934722224
2023-02-14,95.20303340277778,1070.0705345243055
2023-02-15,77.33400128472222,1181.23275953125
2023-02-16,90.57914149305556,1280.8621419097224
2023-02-17,80.4016396875,1132.591007951389
2023-02-18,81.08223190972222,1088.9128250833335
2023-02-19,87.75711579861111,1112.7839614097222
2023-02-20,114.95211944444443,1027.6656224618055
2023-02-21,89.13892947916666,1004.5831219652778
2023-02-22,66.6889778125,1077.52265840625
2023-02-23,62.672586388888895,1145.0856352743056
2023-02-24,51.90612677083333,1252.2975304895833
2023-02-25,31.69116329861111,1302.8619871215278
2023-02-26,48.824793472222225,1064.582866579861
2023-02-27,85.78644215277778,1074.7275031006945
2023-02-28,79.96329454861112,1104.3002351145833
2023-03-01,205.4366488888889,984.8442129826389
2023-03-02,103.27655083333333,977.803898079861
2023-03-03,81.68492177083334,960.5456961909723
2023-03-04,75.75841118055556,1005.3566927812501
2023-03-05,59.18755041666667,1187.4968947881944
2023-03-06,83.48510413194444,1153.7835479027779
2023-03-07,83.65491083333333,872.4049054583334
2023-03-08,83.66426659722222,611.61264321875
2023-03-09,101.58703309027777,531.3507184965279
2023-03-10,96.05959065972223,788.4765325659722
2023-03-11,96.69441642361112,854.553510892361
2023-03-12,94.27145159722221,756.0961162916667
2023-03-13,106.41221142361111,806.5862404756945
2023-03-14,115.60743798611111,999.8572059270833
2023-03-15,113.60337243055557,864.4707866875001
2023-03-16,523.8848385416667,885.6446021423611
2023-03-17,288.550150625,1073.6445408333334
2023-03-18,94.99451569444444,1272.7860849687502
2023-03-19,127.83952975694446,1321.34012459375
2023-03-20,75.50830996527777,1179.7921429131943
2023-03-21,66.83018409722223,1209.2887885347222
2023-03-22,85.51812072916667,914.7263753645833
2023-03-23,69.65451625,1115.256852590278
2023-03-24,85.72066277777778,1001.8397980659722
2023-03-25,77.74545527777778,1220.4499008784724
2023-03-26,91.44243388888889,1194.0218608645835
2023-03-27,152.8332828125,1042.0501075902778
2023-03-28,231.79430625,847.4434517534722
2023-03-29,149.4895850347222,674.1955219340277
2023-03-30,116.25993597222221,862.7340733854167
2023-03-31,76.82019486111112,1004.3204480416666
2023-04-01,155.11489482638888,645.0140611041667
2023-04-02,116.36121368055557,844.2942624027778
2023-04-03,137.11770711805556,971.9134603680554
2023-04-04,152.78836340277778,980.7628378784723
2023-04-05,187.63072131944443,1075.858194482639
2023-04-06,107.71327934027778,953.9347422326389
2023-04-07,84.76824829861111,1009.9336343576389
2023-04-08,31.239558541666668,830.1749183263888
2023-04-09,24.540020659722224,968.6407372430555
2023-04-10,62.17069336805556,919.3094646215278
2023-04-11,102.33768093750001,1133.5858636006944
2023-04-12,182.81074243055556,1044.3923622361112
2023-04-13,90.94474086805556,1248.8970040763888
2023-04-14,87.51818447916668,1088.44599909375
2023-04-15,87.16134631944445,1122.9558949340278
2023-04-16,123.30844986111111,936.6210401631945
2023-04-17,137.6794532986111,851.8426004131944
2023-04-18,107.39490156250001,1058.85000309375
2023-04-19,133.16102309027778,1113.2294367222223
2023-04-20,118.12381270833333,1120.5619395520835
2023-04-21,117.89381663194445,1291.9661163333333
2023-04-22,65.95009739583332,1257.9735094722223
2023-04-23,64.50938708333334,1174.1891621875
2023-04-24,84.58867402777778,1339.356433638889
2023-04-25,81.381221875,1234.207812798611
2023-04-26,91.72632385416667,1259.363229190972
2023-04-27,96.1257373263889,1236.770750704861
2023-04-28,117.61923399305556,1206.915910875
2023-04-29,171.27085347222223,905.4857516388888
