SETTLEMENTDATE,RRP
2023-01-01,66.2400205226481
2023-01-02,74.74924607638889
2023-01-03,75.83132732638889
2023-01-04,96.27287545138888
2023-01-05,86.44951888888889
2023-01-06,67.4011726388889
2023-01-07,46.77665159722223
2023-01-08,53.71135399305555
2023-01-09,103.82674194444445
2023-01-10,91.96950652777778
2023-01-11,108.12710288194445
2023-01-12,111.98031430555555
2023-01-13,131.70266437499998
2023-01-14,99.06783812500001
2023-01-15,69.90864822916666
2023-01-16,105.48207774305556
2023-01-17,95.26187937499999
2023-01-18,64.7138596875
2023-01-19,64.16526350694444
2023-01-20,61.94125489583333
2023-01-21,53.314473125
2023-01-22,70.19376364583334
2023-01-23,104.34473881944444
2023-01-24,112.44109506944444
2023-01-25,119.47742847222223
2023-01-26,177.41995270833334
2023-01-27,118.52366072916668
2023-01-28,109.63061559027777
2023-01-29,110.68101684027778
2023-01-30,130.4084976388889
2023-01-31,285.6676499652778
2023-02-01,152.2821650347222
2023-02-02,135.27735760416667
2023-02-03,133.96996270440252
2023-02-04,94.02092857638888
2023-02-05,89.72948274305556
2023-02-06,110.61362461805555
2023-02-07,101.99352486111111
2023-02-08,89.01085534722222
2023-02-09,101.30725482638888
2023-02-10,83.44209399305555
2023-02-11,62.02787552083333
2023-02-12,84.69738458333333
2023-02-13,113.05350774305556
2023-02-14,95.20303340277778
2023-02-15,77.33400128472222
2023-02-16,90.57914149305556
2023-02-17,80.4016396875
2023-02-18,81.08223190972222
2023-02-19,87.75711579861111
2023-02-20,114.95211944444443
2023-02-21,89.13892947916666
2023-02-22,66.6889778125
2023-02-23,62.672586388888895
2023-02-24,51.90612677083333
2023-02-25,31.69116329861111
2023-02-26,48.824793472222225
2023-02-27,85.78644215277778
2023-02-28,79.96329454861112
2023-03-01,205.4366488888889
2023-03-02,103.27655083333333
2023-03-03,81.68492177083334
2023-03-04,75.75841118055556
2023-03-05,59.18755041666667
2023-03-06,83.48510413194444
2023-03-07,83.65491083333333
2023-03-08,83.66426659722222
2023-03-09,101.58703309027777
2023-03-10,96.05959065972223
2023-03-11,96.69441642361112
2023-03-12,94.27145159722221
2023-03-13,106.41221142361111
2023-03-14,115.60743798611111
2023-03-15,113.60337243055557
2023-03-16,523.8848385416667
2023-03-17,288.550150625
2023-03-18,94.99451569444444
2023-03-19,127.83952975694446
2023-03-20,75.50830996527777
2023-03-21,66.83018409722223
2023-03-22,85.51812072916667
2023-03-23,69.65451625
2023-03-24,85.72066277777778
2023-03-25,77.74545527777778
2023-03-26,91.44243388888889
2023-03-27,152.8332828125
2023-03-28,231.79430625
2023-03-29,149.4895850347222
2023-03-30,116.25993597222221
2023-03-31,76.82019486111112
2023-04-01,155.11489482638888
2023-04-02,116.36121368055557
2023-04-03,137.11770711805556
2023-04-04,152.78836340277778
2023-04-05,187.63072131944443
