Datetime,SETTLEMENTDATE,Avg_RRP
2023-01-04 02:00:00,2023-01-04 02:27:30.000000000,82.56167583333333
2023-01-04 03:00:00,2023-01-04 03:27:30.000000000,79.78445333333333
2023-01-04 04:00:00,2023-01-04 04:27:30.000000000,107.42600499999999
2023-01-04 05:00:00,2023-01-04 05:27:30.000000000,101.87785916666667
2023-01-04 06:00:00,2023-01-04 06:27:30.000000000,52.5129725
2023-01-04 07:00:00,2023-01-04 07:27:30.000000000,25.791630833333333
2023-01-04 08:00:00,2023-01-04 08:27:30.000000000,20.902036666666667
2023-01-04 09:00:00,2023-01-04 09:27:30.000000000,21.172344166666665
2023-01-04 10:00:00,2023-01-04 10:27:30.000000000,20.68887583333333
2023-01-04 11:00:00,2023-01-04 11:27:30.000000000,5.435646666666667
2023-01-04 12:00:00,2023-01-04 12:27:30.000000000,32.548701666666666
2023-01-04 13:00:00,2023-01-04 13:27:30.000000000,83.57129583333334
2023-01-04 14:00:00,2023-01-04 14:27:30.000000000,121.11780583333332
2023-01-04 15:00:00,2023-01-04 15:27:30.000000000,190.51244499999999
2023-01-04 16:00:00,2023-01-04 16:27:30.000000000,160.57497916666668
2023-01-04 17:00:00,2023-01-04 17:27:30.000000000,138.86731083333333
2023-01-04 18:00:00,2023-01-04 18:27:30.000000000,168.54732916666669
2023-01-04 19:00:00,2023-01-04 19:27:30.000000000,170.69416666666666
2023-01-04 20:00:00,2023-01-04 20:27:30.000000000,151.07722416666667
2023-01-04 21:00:00,2023-01-04 21:27:30.000000000,150.80199333333334
2023-01-04 22:00:00,2023-01-04 22:27:30.000000000,133.25918666666666
2023-01-04 23:00:00,2023-01-04 23:27:30.000000000,109.77884416666666
2023-01-05 00:00:00,2023-01-05 00:27:30.000000000,117.65833500000001
2023-01-05 01:00:00,2023-01-05 01:27:30.000000000,87.62114416666667
2023-01-05 02:00:00,2023-01-05 02:27:30.000000000,87.29220500000001
2023-01-05 03:00:00,2023-01-05 03:27:30.000000000,82.84815333333333
2023-01-05 04:00:00,2023-01-05 04:27:30.000000000,86.36912666666666
2023-01-05 05:00:00,2023-01-05 05:27:30.000000000,95.65652999999999
2023-01-05 06:00:00,2023-01-05 06:27:30.000000000,83.6674325
2023-01-05 07:00:00,2023-01-05 07:27:30.000000000,61.61938083333334
2023-01-05 08:00:00,2023-01-05 08:27:30.000000000,72.61118333333333
2023-01-05 09:00:00,2023-01-05 09:27:30.000000000,76.46645166666667
2023-01-05 10:00:00,2023-01-05 10:27:30.000000000,70.74855083333334
2023-01-05 11:00:00,2023-01-05 11:27:30.000000000,67.1946475
2023-01-05 12:00:00,2023-01-05 12:27:30.000000000,54.33300333333333
2023-01-05 13:00:00,2023-01-05 13:27:30.000000000,76.74251833333334
2023-01-05 14:00:00,2023-01-05 14:27:30.000000000,77.62635333333334
2023-01-05 15:00:00,2023-01-05 15:27:30.000000000,101.58873999999999
2023-01-05 16:00:00,2023-01-05 16:27:30.000000000,111.25963166666666
2023-01-05 17:00:00,2023-01-05 17:27:30.000000000,98.7944675
2023-01-05 18:00:00,2023-01-05 18:27:30.000000000,98.41079916666666
2023-01-05 19:00:00,2023-01-05 19:27:30.000000000,94.50423416666666
2023-01-05 20:00:00,2023-01-05 20:27:30.000000000,91.87542333333333
2023-01-05 21:00:00,2023-01-05 21:27:30.000000000,86.91583916666667
2023-01-05 22:00:00,2023-01-05 22:27:30.000000000,99.95291083333332
2023-01-05 23:00:00,2023-01-05 23:27:30.000000000,93.03139166666666
2023-01-06 00:00:00,2023-01-06 00:27:30.000000000,81.79837083333334
2023-01-06 01:00:00,2023-01-06 01:27:30.000000000,73.68118333333334
2023-01-06 02:00:00,2023-01-06 02:27:30.000000000,73.06786166666667
2023-01-06 03:00:00,2023-01-06 03:27:30.000000000,69.88161333333333
2023-01-06 04:00:00,2023-01-06 04:27:30.000000000,74.13011
2023-01-06 05:00:00,2023-01-06 05:27:30.000000000,75.93492416666668
2023-01-06 06:00:00,2023-01-06 06:27:30.000000000,38.98916833333333
2023-01-06 07:00:00,2023-01-06 07:27:30.000000000,21.855008333333334
2023-01-06 08:00:00,2023-01-06 08:27:30.000000000,22.549989999999998
